date,amount,category,description
01-06-2024,100.00,Income,Freelance Work
02-06-2024,40.00,Expense,Groceries
04-06-2024,75.00,Expense,Utilities
06-06-2024,15.00,Expense,Snacks
08-06-2024,50.00,Expense,Gas
10-06-2024,200.00,Income,Freelance Work
12-06-2024,25.00,Expense,Transportation
14-06-2024,80.00,Expense,Dining Out
15-06-2024,300.00,Income,Salary
18-06-2024,50.00,Expense,Groceries
20-06-2024,75.00,Expense,Gas
22-06-2024,200.00,Income,Freelance Work
23-06-2024,30.00,Expense,Dining Out
25-06-2024,60.00,Expense,Utilities
26-06-2024,120.00,Expense,Buy Laptop
28-06-2024,80.00,Expense,Groceries
29-06-2024,100.00,Income,Gift
01-07-2024,45.00,Expense,Entertainment
18-07-2024,66.0,Income,salary
09-07-2024,11.0,Expense,cake
